Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,part_time_job,absence_days,weekly_self_study_hours
Engineering,Urban Planner,3.530438534147387,5,0,2,0,3,1,4,4,2,2,1,0,1,1,0,0,0
Chemistry,Art Director,4.018247221685561,1,2,0,0,8,1,3,4,0,3,0,3,0,1,0,0,0
Engineering,Chemist,4.636733223332204,1,0,0,0,5,0,1,1,1,2,2,3,4,1,0,0,0
Physics,Manager,4.052692953534206,3,1,3,0,1,0,4,1,3,1,2,1,2,0,0,0,0
Law,Education Administrator,4.834850008942559,0,2,4,0,0,0,4,4,3,4,4,3,2,0,0,0,0
Marketing,Accountant,4.029891529095423,2,0,0,1,2,0,0,2,4,3,1,2,4,1,0,0,0
Medicine,Cybersecurity Analyst,3.226644909827205,4,0,1,1,0,1,1,2,4,2,2,3,0,0,0,0,0
Computer Science,Special Education Teacher,4.378898512867637,2,1,0,0,0,0,2,3,3,4,4,2,4,0,0,0,0
Education,Civil Engineer,3.6712135301622952,3,2,0,1,3,0,0,0,1,0,2,3,3,1,0,0,0
Medicine,Artist,3.905219850365391,5,2,2,1,7,0,2,4,4,4,0,3,2,1,0,0,0
Business,Architect,3.983628858616102,0,2,1,1,5,1,2,4,1,3,0,0,4,1,0,0,0
Education,Graphic Designer,4.831142370138503,5,1,1,1,5,1,1,1,4,2,4,0,2,0,0,0,0
Engineering,Acoustics Specialist,2.519861098579108,4,2,3,1,4,1,1,3,2,3,4,1,2,0,0,0,0
Chemistry,Organic Chemist,3.4993573182286166,4,2,4,0,7,0,2,1,2,1,4,2,2,0,0,0,0
Engineering,Interior Designer,3.051281363601992,0,0,0,1,0,0,3,0,1,0,3,0,3,0,0,0,0
Architecture,Game Developer,4.882464657587002,3,2,1,1,1,1,2,2,1,0,1,3,2,1,0,0,0
Chemistry,Music Teacher,2.849628835834241,0,2,3,1,0,0,2,3,2,3,4,2,3,0,0,0,0
Law,Market Research Analyst,3.325656325067502,0,2,3,0,7,0,2,0,4,3,1,3,0,1,0,0,0
Music,Conductor,2.861092300527823,5,1,1,1,0,1,2,2,1,3,4,3,1,1,0,0,0
Medicine,Chemical Engineer,4.189086124027632,6,2,2,0,4,1,1,2,3,3,3,3,1,1,0,0,0
Marketing,School Psychologist,4.670245899434831,4,0,4,0,3,1,1,0,3,1,0,1,2,1,0,0,0
Physics,Psychologist,4.045535068198723,1,0,2,1,6,1,2,0,0,3,0,0,4,0,0,0,0
Biology,Special Education Teacher,3.0815093503014723,7,0,0,1,6,0,4,3,0,2,1,1,3,1,0,0,0
Computer Science,Surgeon,3.293037413815491,2,1,2,0,8,1,0,0,3,1,1,4,2,0,0,0,0
Finance,Digital Marketing Specialist,4.411688423234405,8,0,4,0,8,1,3,0,0,1,0,1,4,1,0,0,0
Chemistry,Forensic Psychologist,4.91524984804653,1,2,3,0,9,1,0,0,4,1,0,3,0,0,0,0,0
Architecture,Judge,4.597910696845415,1,1,4,1,8,0,1,0,2,3,4,3,2,1,0,0,0
Biology,Analytical Chemist,2.878498258050343,6,2,1,0,3,1,0,4,1,0,1,0,3,1,0,0,0
Medicine,Illustrator,4.419582883962078,8,2,0,0,7,1,1,4,2,0,1,2,1,1,0,0,0
Music,Web Developer,3.6660943730625073,5,0,0,1,8,0,1,1,2,3,0,3,1,0,0,0,0
Computer Science,Art Therapist,2.5841469169994107,0,2,4,1,6,1,3,2,1,0,2,2,4,1,0,0,0
Chemistry,Counselor,3.409774458210828,7,1,1,1,5,1,0,0,1,2,0,2,2,0,0,0,0
Chemistry,Nurse,4.997478345619685,2,0,4,0,5,1,0,0,2,3,1,4,0,0,0,0,0
Marketing,Chemical Engineer,3.2274262997873766,1,1,4,1,1,0,4,2,0,1,1,4,2,1,0,0,0
Architecture,Marketing Manager,3.038927520900584,5,1,1,1,5,1,1,2,2,3,1,2,0,0,0,0,0
Psychology,Teacher,4.566338664638026,1,0,4,0,0,0,4,0,4,1,4,0,2,0,0,0,0
Art,Doctor,3.19249995864387,5,0,2,0,6,1,2,3,4,0,2,3,3,1,0,0,0
Engineering,Paralegal,2.9207042900764284,1,2,4,0,4,1,1,3,4,1,2,3,0,1,0,0,0
Music,Art Director,3.78292121385146,6,1,3,0,8,1,2,1,2,4,4,1,2,0,0,0,0
Law,Psychologist,4.581031654142441,9,0,0,0,9,0,0,1,2,4,3,3,0,0,0,0,0
Law,Data Scientist,3.452044937923984,5,2,3,0,3,0,3,2,0,3,0,1,0,1,0,0,0
Physics,Software Developer,3.038082477030586,7,1,3,0,5,1,1,3,4,1,0,4,4,1,0,0,0
Marketing,Graphic Designer,3.3871950610516777,3,0,2,0,1,0,3,3,2,0,2,4,1,0,0,0,0
Marketing,Urban Planner,4.033337379126986,2,0,4,1,5,0,1,2,1,2,3,3,3,1,0,0,0
Architecture,Investment Banker,2.790305704303844,3,0,3,1,3,1,3,2,3,2,2,2,2,1,0,0,0
Education,Curriculum Developer,3.0508604172686944,3,2,1,0,7,0,2,4,0,4,2,0,3,0,0,0,0
Medicine,Microbiologist,4.690325622614975,6,2,1,0,5,0,4,2,1,4,2,0,0,1,0,0,0
Chemistry,Surgeon,3.1417042275029963,8,2,3,0,0,0,3,1,3,3,0,3,4,0,0,0,0
Music,Interior Designer,4.179276864405921,7,1,3,1,8,0,1,3,2,2,4,3,1,0,0,0,0
Chemistry,Education Administrator,4.212333987547685,0,1,4,1,9,1,4,1,3,3,0,0,3,1,0,0,0
